Name,Latitude,Longitude,Altitude,Dist,AvgSpd,Description,Icon,IconScale,IconAltitude,IconHeading,	IconColor,	LineStringColor,HideNameUntilMouseOver
59 Place Saint-Charles , 48.8488952 , 2.2875621 , 0 , 0 , 0 , NO.75<br/>59 Place Saint-Charles<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place de Barcelone , 48.847416 , 2.2734653 , 0 , 0 , 0 , NO.76<br/>Place de Barcelone<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
10 boulevard Delessert , 48.8587309 , 2.2850498 , 0 , 0 , 0 , NO.77<br/>10 boulevard Delessert<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Jean-Lorrain , 48.8480669 , 2.2646701 , 0 , 0 , 0 , NO.78<br/>Place Jean-Lorrain<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Square Lamartine , 48.8645482 , 2.2749436 , 0 , 0 , 0 , NO.79<br/>Square Lamartine<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
Place de Passy , 48.8578487 , 2.2776036 , 0 , 0 , 0 , NO.80<br/>Place de Passy<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place du Père-Marcellin-Champagnat , 48.8561263 , 2.2804017 , 0 , 0 , 0 , NO.81<br/>Place du Père-Marcellin-Champagnat<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue de Presbourgresized_imageavenue Marceauresized_imagerue Vernet , 48.8724857 , 2.2964468 , 0 , 0 , 0 , NO.82<br/>Rue de Presbourgresized_imageavenue Marceauresized_imagerue Vernet<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
194 avenue de Versailles , 48.839145 , 2.261 , 0 , 0 , 0 , NO.83<br/>194 avenue de Versailles<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Aimé-Maillart , 48.8815334 , 2.2955513 , 0 , 0 , 0 , NO.84<br/>Place Aimé-Maillart<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
